package,old,new,delta
did,2.0.0,2.1.0,*
abind,1.4-5,1.4-5,
backports,1.4.0,1.4.0,
BMisc,1.4.3,1.4.3,
broom,0.7.10,0.7.10,
car,3.0-12,3.0-12,
carData,3.0-4,3.0-4,
caret,6.0-90,6.0-90,
cli,3.1.0,3.1.0,
colorspace,2.0-2,2.0-2,
conquer,1.2.1,1.2.1,
corrplot,0.92,0.92,
cowplot,1.1.1,1.1.1,
cpp11,0.4.2,0.4.2,
crayon,1.4.2,1.4.2,
data.table,1.14.2,1.14.2,
digest,0.6.29,0.6.29,
dplyr,1.0.7,1.0.7,
DRDID,1.0.3,1.0.3,
e1071,1.7-9,1.7-9,
ellipsis,0.3.2,0.3.2,
evaluate,0.14,0.14,
fansi,0.5.0,0.5.0,
farver,2.1.0,2.1.0,
foreach,1.5.1,1.5.1,
future,1.23.0,1.23.0,
future.apply,1.8.1,1.8.1,
generics,0.1.1,0.1.1,
ggplot2,3.3.5,3.3.5,
ggpubr,0.4.0,0.4.0,
ggrepel,0.9.1,0.9.1,
ggsci,2.9,2.9,
ggsignif,0.6.3,0.6.3,
globals,0.14.0,0.14.0,
glue,1.5.1,1.5.1,
gower,0.2.2,0.2.2,
gridExtra,2.3,2.3,
gtable,0.3.0,0.3.0,
highr,0.9,0.9,
ipred,0.9-12,0.9-12,
isoband,0.2.5,0.2.5,
iterators,1.0.13,1.0.13,
knitr,1.36,1.36,
labeling,0.4.2,0.4.2,
lava,1.6.10,1.6.10,
lifecycle,1.0.1,1.0.1,
listenv,0.8.0,0.8.0,
lme4,1.1-27.1,1.1-27.1,
lubridate,1.8.0,1.8.0,
magrittr,2.0.1,2.0.1,
maptools,1.1-2,1.1-2,
MatrixModels,0.5-0,0.5-0,
matrixStats,0.61.0,0.61.0,
minqa,1.2.4,1.2.4,
ModelMetrics,1.2.2.2,1.2.2.2,
munsell,0.5.0,0.5.0,
nloptr,1.2.2.3,1.2.2.3,
numDeriv,2016.8-1.1,2016.8-1.1,
parallelly,1.29.0,1.29.0,
pbapply,1.5-0,1.5-0,
pbkrtest,0.5.1,0.5.1,
pillar,1.6.4,1.6.4,
pkgconfig,2.0.3,2.0.3,
plyr,1.8.6,1.8.6,
polynom,1.4-0,1.4-0,
pROC,1.18.0,1.18.0,
prodlim,2019.11.13,2019.11.13,
progressr,0.9.0,0.9.0,
proxy,0.4-26,0.4-26,
purrr,0.3.4,0.3.4,
quantreg,5.86,5.86,
R6,2.5.1,2.5.1,
RColorBrewer,1.1-2,1.1-2,
Rcpp,1.0.7,1.0.7,
RcppArmadillo,0.10.7.3.0,0.10.7.3.0,
RcppEigen,0.3.3.9.1,0.3.3.9.1,
recipes,0.1.17,0.1.17,
reshape2,1.4.4,1.4.4,
rlang,0.4.12,0.4.12,
rstatix,0.7.0,0.7.0,
scales,1.1.1,1.1.1,
sp,1.4-6,1.4-6,
SparseM,1.81,1.81,
SQUAREM,2021.1,2021.1,
stringi,1.7.6,1.7.6,
stringr,1.4.0,1.4.0,
tibble,3.1.6,3.1.6,
tidyr,1.1.4,1.1.4,
tidyselect,1.1.1,1.1.1,
timeDate,3043.102,3043.102,
trust,0.1-8,0.1-8,
utf8,1.2.2,1.2.2,
vctrs,0.3.8,0.3.8,
viridisLite,0.4.0,0.4.0,
withr,2.4.3,2.4.3,
xfun,0.28,0.28,
yaml,2.2.1,2.2.1,
